Company Name,Industry Name,SIC,Exchange,Country,Stock Price,% Chg in last year,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Kellogg,Food Processing,2000,NYS,US,43.26,-0.01,630600,413,18116.4,4880.9,22997.3,22579.9,417.4,9613.9,10173.7,20.34,NA,2.55,16.96,2.54,8.03,1.88,10.8,9.03,3.36,3.22,2.35,2.22,0.05,0.08,0.05,0.08,0.14,0.6,0.05,0.14,-140.33,0.21,0.51,-0.1,0.39,0.2,0.09,0.22,6720.7,10790.4,-153.3,-8.93,890.6,2091.02,1363.39,2501.02,1503.72,0.35,-0.02,0.02,0.04,0.04,278.6,410,2634.1,10173.7,0,458.43,0.47,0.25,0.27,0.21,0.68,0.03,0.29,0.79
Kellwood Co.,Apparel,2300,NYS,US,23.88,0.01,209600,27.7,648.7,469.8,1118.5,857.1,261.4,2555.7,2510.3,9.25,9.25,1.66,14.39,2.64,0.9,0.25,4.98,4,0.92,0.94,0.34,0.34,0.06,0.04,0.04,0.06,1.12,0.9,0.23,0.29,-22.54,0.77,0.25,-0.2,0.1,0.12,0.03,0.07,929.4,1578.3,458.5,-8.14,70.1,172.25,113.26,214.05,135.8,0.34,0.18,0.23,0.1,0.17,27.4,41.8,404.2,2510.3,70.1,17.73,0.26,0.06,0.72,0.42,0.39,0.03,0.02,0
Kelly Services 'A',Human Resources,7363,NDQ,US,26.22,-0.02,48792,35.5,952.7,34.3,987,898.2,88.8,4984,5162,43.11,43.11,1.55,16.92,1.21,1.46,0.19,11.26,7.25,1.5,1.43,0.18,0.17,-0.28,0.36,0.09,0.13,1.02,1,0.1,0.23,4.13,0.91,0.64,0.08,0.03,0.08,0,0.02,599.8,1247.4,353.7,12.63,22.1,79.74,50.96,123.84,46.83,0.36,0.07,0.09,0.02,0.07,35.6,44.1,763,5162,22.1,14.2,0.08,0.14,0.04,0.03,0.05,0.02,0.44,0.65
KEMET Corp.,Electronics,3670,NYS,US,7.08,-0.03,1422300,86.6,626.8,100,726.8,664.9,61.9,424.8,427.1,NA,NA,0.22,32.18,NA,1.22,1.48,193.24,10.48,1.2,1.18,1.57,1.56,NA,NA,0.11,-0.02,2.51,1.55,0.19,0.44,-19.74,1.15,NA,-5.74,-0.1,0.01,-0.12,0.01,553.3,758.1,122.7,0.66,-49.8,3.44,3.44,63.44,23.18,0,0.29,0.09,0.14,0.08,39.6,60,78.4,427.1,-49.8,0,0.06,0.37,0.16,0.14,0.16,0,0.01,0.9
Kendle Intl Inc,Medical Services,8000,NDQ,US,25.74,0.02,74941,13.2,353.4,9.8,363.2,335.3,27.9,215.9,243.3,98.17,39.27,0.79,32.58,NA,3.44,1.64,20.71,13.2,3.96,3.23,1.55,1.38,NA,NA,NA,0.02,2.51,0.9,0.61,0.72,-3.23,0.69,0,-0.34,0.04,0.11,0.02,0.08,84.7,162.7,17.9,2.27,3.6,16.19,9.56,25.39,12.78,0.41,0.08,0.08,0.11,0.17,3.7,9.2,59.8,243.3,9,0,0.26,0.1,0.03,0.03,0.09,0,NA,0.65
Kenexa Corp,Human Resources,7363,NDQ,Foreign,21.1,-0.01,59703,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.43
Kenilworth Systems Corp.,Hotel/Gaming,7000,NDQ,US,0.04,-0.16,646275,137.6,7.6,0,7.6,7.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1.37,0.95,NA,1.81,0,-0.15,NA,NA,NA,NA,NA,NA,-0.1,0.2,-0.2,0,-1.9,NA,NA,NA,NA,0,NA,0,NA,0,0,0,1.5,0,-3.4,0,0.5,0,0,0,NA,0,NA,0.01
Kennametal Inc.,Metal Fabricating,3400,NYS,US,51.05,-0.01,236200,38.1,1991.4,437.4,2428.8,2385.6,43.2,2304.2,2304.2,16.07,16.07,NA,NA,0.77,2.05,0.86,8.43,6.82,1.75,1.72,1.04,1.04,0.01,0.21,0.07,0.12,0.85,1.1,0.13,0.21,21.7,0.81,0.23,0.11,0.13,0.14,0.05,0.12,1367.1,2092.3,410.2,0,123.9,282.96,190.83,349.86,169.13,0.33,0.18,0.02,0.02,0.02,88.6,66.9,574.5,2304.2,123.9,28.96,0.31,0.25,0.22,0.18,0.31,0.01,0.05,0.91
Kenneth Cole 'A',Shoe,3140,NYS,US,25.5,-0.01,108000,19.7,508.9,0,508.9,428.9,80,516.2,524,14.18,14.18,1.73,14.74,1.35,2.35,0.99,6.67,5.95,3.14,2.35,0.83,0.82,0.13,0.11,0.1,0.11,1.24,1.4,0.19,0.35,3.71,0.71,0.4,0.09,0.17,0.29,0.07,0.12,136.5,304.6,93,1.41,35.9,64.27,39.84,72.07,36.14,0.38,0.18,0.16,0.15,0.26,10.1,7.8,174.5,524,35.9,14.18,0,0.13,0,0,0,0.03,0.5,0.54
Kensey Nash Corp,Medical Supplies,8060,NDQ,US,22.03,-0.01,58376,11.4,256.5,0,256.5,211.6,44.9,61.4,53.8,19.88,26.72,0.72,30.6,1.73,2.47,4.18,9.93,8.2,3.59,2.47,3.45,3.93,0.22,0.12,NA,0.06,1.14,1.15,0.3,0.36,13.15,0.63,0,0.86,0.12,0.26,0.21,0.35,59,115.7,13.3,-1.65,12.9,21.31,15.23,25.81,2.08,0.29,0.22,0.18,0.83,0.39,19.3,4.5,26.9,53.8,9.6,0,0.07,0.33,0,0,0,0,NA,0
Kent Finl Svs Inc,Financial Svcs. (Div.),6100,NDQ,US,2.45,0,6600,2.9,7,0,7,-8.4,15.4,0.9,1.8,23.33,NA,NA,NA,NA,0.78,7.78,NA,NA,NA,0.78,NA,NA,NA,NA,NA,-0.66,0.19,0.6,0.34,0.59,-0.9,0.06,0,-54.95,0.03,0,0.33,0.02,-6.4,15.7,-0.9,-0.9,0.3,0.02,0.02,0.02,0.92,0,-1,2.2,8.56,0.98,0,0,0,1.8,0,0,0,0,0,0,0,0,NA,0.07
Kentucky Bancshares Inc,Bank,6000,NDQ,US,29.55,0,530,2.7,78.9,67,145.9,133.7,12.2,NA,NA,13.6,13.15,NA,NA,NA,1.75,NA,NA,NA,1.34,1.3,NA,NA,NA,NA,NA,0,0,0.4,0.07,0,0,NA,0.43,NA,0.13,NA,NA,NA,99.8,528.5,0,0,5.8,NA,NA,NA,NA,0.28,NA,0.08,NA,0.02,0,0,5.8,0,6,2.48,0.02,0,0.85,0.46,0.6,0.03,NA,0
Kentucky First Fed. Bncp,Thrift,6120,NDQ,Foreign,10.4,0,814,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.12,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0
Kentucky Investors Inc,Insurance (Life),6310,NDQ,US,24,-0.01,1135,1.1,26.7,4.2,30.9,27.8,3.1,NA,NA,12.14,12.71,NA,NA,NA,0.54,NA,NA,NA,0.55,0.58,NA,NA,NA,NA,NA,0,-0.13,0.35,0.1,0.12,0,-0.22,0.19,NA,0.04,NA,NA,NA,50.2,422.7,0,0,2.2,NA,NA,NA,NA,0.12,NA,0.1,NA,0.01,0,0,0,0,2.1,0.42,0,0,0.16,0.14,0.08,0.02,NA,0
Kerr-McGee Corp.,Petroleum (Integrated),2900,NYS,US,90.97,0.01,823800,151.9,10558.7,3699,14257.7,14181.7,76,5157,6523.9,26.14,26.14,8.91,10.21,0.41,1.99,2.05,5.4,3.85,1.59,1.58,2.75,2.17,-0.33,0.64,0.05,-0.18,0.49,0.95,0.28,0.23,140.77,0.42,0.08,0.09,0.08,0.18,0.08,0.51,8941,14518,-231,-61.23,404,2626.98,1581.68,3686.98,1440.9,0.4,-0.04,0.01,0.01,0.01,1262,1060,337,6523.9,404,30.38,0.08,0.75,0.35,0.26,0.41,0,0.02,0.81
Keryx Biopharmaceuticals Inc,Biotechnology,2830,NDQ,US,14.64,0.03,235372,31.3,540.6,0,540.6,490.9,49.7,0.8,0.6,NA,NA,-0.72,NA,NA,12.63,675.75,NA,NA,NA,12.63,613.63,818.17,NA,NA,NA,0,1.58,1.05,0.27,0.95,0.6,0.33,NA,-0.02,-0.77,4.59,-41.13,-39.63,-6.9,50.9,-3.2,0.8,-32.9,-31.7,-31.7,-31.5,-32.3,0,-4,0.09,82.83,0.98,0,0.2,32.2,0.6,-22.3,0,0,0,0,0,0,0,NA,0.76
Kerzner Int'l Ltd.,Hotel/Gaming,7000,NYS,Foreign,68.7,0,106600,35.9,2458.1,754.8,3212.9,3032.6,180.3,621.1,688.2,28.45,28.45,3.22,21.34,1.84,2.2,3.96,24.09,16.41,1.79,1.72,4.88,4.41,-0.01,0.16,0.1,-0.07,0.69,0.65,0.14,0.32,74.21,0.44,0,0.59,0.08,0.07,0.14,0.2,1690.8,2087.3,126.9,13.71,86.4,125.9,125.26,184.8,51.05,0.01,0.2,0.06,0.26,0.09,119.4,58.9,156.9,688.2,86.4,0,0,0.65,0.31,0.23,0.4,0,0.01,0.65
Kewaunee Scientific Corp.,Office Equip/Supplies,3570,NDQ,US,9.36,0.02,824,2.5,22.8,5.1,27.9,27.7,0.2,73.5,77.4,NA,NA,NA,NA,NA,0.88,0.31,15.14,7.23,0.9,0.9,0.38,0.36,-0.37,NA,NA,-0.23,0.54,0.6,0.23,0.25,-0.21,0.43,NA,-0.11,0,0.06,0,0.02,30.9,46.2,14.9,0.79,-0.1,1.83,1.83,3.83,2.04,0,0.2,0.01,0,0,1,2,12.7,77.4,0,0.7,0,0.23,0.22,0.18,0.16,0.03,NA,0.11
Key Energy Services Inc.,Oilfield Svcs/Equip.,3533,NDQ,US,13.47,0,218483,109.9,1753.9,443.6,2197.5,2143.4,54.1,802.6,926.9,42.57,120.96,NA,NA,NA,3.27,2.19,11.11,7.9,2.31,2.24,2.67,2.31,NA,NA,NA,-0.16,0,1.1,NA,0,22.99,NA,0,0.19,0.08,0.13,0.05,0.24,926.4,1243,49,7.59,41.2,192.86,121.73,271.16,98.74,0.37,0.06,0.02,0.06,0.04,93.7,78.3,59.5,926.9,14.5,0,0.16,0.65,0.25,0.2,0.45,0,NA,0.21
Key Technology,Machinery,3500,NDQ,US,12.84,0.01,350,5,64.8,3.5,68.3,59.5,8.8,80.6,80.4,17.51,20.9,NA,NA,NA,1.8,0.8,6.92,5.04,1.94,1.73,0.74,0.74,0.18,NA,NA,-0.06,1.51,0.6,0.27,0.43,-2.03,0.7,0,-0.34,0.1,0.19,0.05,0.11,30.7,52.5,13.3,-0.03,3.7,8.6,5.98,11.8,8.01,0.31,0.17,0.13,0.11,0.17,1.2,3.2,27,80.4,3.1,0,0.19,0.1,0.05,0.05,0.09,0,NA,0.55
KeyCorp,Bank,6000,NYS,US,32.94,-0.01,1053700,407.6,13592.2,14846,28438.2,25984.2,2454,NA,NA,14.25,14.25,2.71,12.15,1.9,1.91,NA,NA,NA,1.33,1.29,NA,NA,NA,0.08,NA,0,0.73,1,0.08,0.16,0,0.89,0.56,NA,0.13,NA,NA,NA,19509,90739,0,0,954,NA,NA,NA,NA,0.31,NA,0.09,NA,0.03,0,0,677,0,954,529.88,0.02,0,1.09,0.52,0.68,0.04,0.01,0.53
Keynote Systems Inc,Internet,7370,NDQ,US,12.85,0.01,118658,18.8,242.3,0,242.3,108.5,133.8,53.7,53.7,32.74,31.06,NA,NA,NA,1.25,4.51,14.33,8.11,1.81,1.25,2.02,2.02,NA,NA,NA,0.34,0.83,0.9,0.19,0.25,-2.2,0.66,0,-0.29,0.04,0.13,0.14,0.14,60.1,209.8,-6.4,0,7.4,7.57,7.57,13.37,9.77,0,-0.12,0.55,2.49,0.64,3.6,5.8,28.5,53.7,7.8,0,0.12,0.17,0,0,0,0,NA,0.59
KeySpan Corp.,Natural Gas (Distrib.),4920,NYS,US,35.65,0,422100,160.8,6216,5347,11563,10641,922,6650.5,6764.8,15.7,15.7,2.4,14.85,5.23,1.6,0.93,7.42,5.36,1.27,1.25,1.6,1.57,0.27,0.03,0.02,-0.05,0.51,0.85,0.11,0.12,248.6,0.82,0.74,0.26,0.1,0.11,0.06,0.22,8359.1,13364.1,802.7,13.8,396,1433.85,939.14,1985.65,690.55,0.35,0.12,0.08,0.14,0.07,786.6,551.8,2012.2,6764.8,396,292.66,0,0.53,0.86,0.46,0.58,0.05,NA,0.52
Keystone Automotive,Auto Parts,3716,NDQ,US,31.48,-0.01,33406,15.8,519.2,0,519.2,515.1,4.1,557.7,561.4,36.31,36.31,1.3,24.22,2.69,2.71,0.93,18.11,14.33,2.74,2.71,0.92,0.92,0.01,0.14,0.09,0.09,0.07,0.85,0.27,0.35,1.84,0.04,0,0.11,0.07,0.09,0.03,0.05,187.7,234.6,141.1,0.94,14.3,28.44,17.22,35.94,15.38,0.39,0.25,0.01,0.01,0.02,8.4,7.5,222,561.4,14.3,0,0.05,0.13,0,0,0,0,0.03,0.95
KeyTronicEMS Co.,Computers/Peripherals,3573,NDQ,US,3.2,0.03,33809,9.7,30.7,7.4,38.1,36.6,1.5,202.9,198.4,6.98,6.4,NA,NA,NA,1.11,0.15,5.42,4,1.09,1.09,0.18,0.18,NA,NA,NA,0.36,7.69,1.25,0.44,2.24,0.02,0.69,0,0,0.16,0.2,0.02,0.03,33.5,72.9,21.5,-0.48,4.4,6.76,6.76,9.16,6.73,0,0.11,0.04,0.01,0.02,2.9,2.4,12.1,198.4,4.8,0,0.01,0.14,0.24,0.19,0.21,0,NA,0.45
K-Fed Bancorp,Thrift,6120,NDQ,Foreign,12,0,12150,14.5,171.1,0,171.1,158.9,12.2,NA,NA,53.47,35.65,NA,NA,NA,1.92,NA,NA,NA,2.07,1.92,NA,NA,NA,NA,NA,0,0,0,0.16,0,0,NA,1.27,NA,0.04,NA,NA,NA,76.9,584.4,0,0,3.2,NA,NA,NA,NA,0.39,NA,0.07,NA,0.02,0,0,8.1,0,4.8,4.06,0,0,0,0,0,0.02,NA,0.05
Kforce Inc,Human Resources,7363,NDQ,US,11.16,-0.02,366377,37.3,440.4,1.3,441.7,441.3,0.4,661.5,788.9,17.62,13.31,0.55,20.29,0.64,2.58,0.67,24,18.71,2.57,2.57,0.67,0.56,-0.07,0.28,NA,0.09,2.21,1.2,0.32,0.62,3.37,0.71,0,0.18,0.15,0.11,0.04,0.03,171.7,273.2,25.8,4.97,25,18.39,18.39,23.59,15.02,0,0.04,0,0,0,3.6,5.2,185.5,788.9,33.1,0,0.43,0.03,0,0,0.01,0,NA,0.68
KFX Inc,Electric Util. (Central),4912,AMS,US,17.14,0.11,1415500,64.8,1056,0.2,1056.2,976.8,79.4,NA,1,NA,NA,NA,NA,NA,11.2,NA,NA,NA,64.69,11.18,NA,976.8,NA,NA,NA,-0.54,1.93,0.75,0.28,0.58,14,0.67,NA,NA,-0.1,NA,NA,NA,15.1,112.3,-5.5,0,-9.2,NA,NA,NA,NA,0,NA,0.08,79.4,0.71,14.4,0.4,8.9,1,-16.8,0,0.01,0.03,0,0,0,0,NA,0.63
KHD Humboldt Wedag Int'l,Financial Svcs. (Div.),6100,NDQ,Foreign,22.15,0.01,19477,12.7,276.8,49.6,326.4,180.9,145.5,NA,NA,5.64,9.26,NA,NA,NA,1.27,NA,NA,NA,1.48,1.22,NA,NA,NA,NA,NA,0,0,0.75,0.26,0,0,NA,0,NA,0.22,NA,NA,NA,122.5,404.6,0,0,49.1,NA,NA,NA,NA,0.02,NA,0.45,NA,0.36,0,0,0,0,29.9,0,0.04,0,0.18,0.15,0.19,0,NA,0.03
Killbuck Bancshares Inc,Bank,6000,OTC,US,101.44,0,600,0.7,66,6.8,72.8,60.6,12.2,NA,NA,19.41,17.37,NA,NA,NA,1.86,NA,NA,NA,2.02,1.73,NA,NA,NA,NA,NA,0,0,0.35,NA,0,0,NA,0,NA,0.1,NA,NA,NA,30,293.9,0,0,3.4,NA,NA,NA,NA,0.22,NA,0.17,NA,0.04,0,0,3,0,3.8,0,0,0,0.1,0.09,0.16,0,NA,0
Kilroy Rlty Corp,R.E.I.T.,6720,NYS,US,61.9,-0.01,112500,0,0,0,0,0,0,NA,236.4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.32,0.8,0.25,0.19,0,0.35,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,236.4,15.4,0,NA,NA,NA,NA,NA,0,NA,0.97
Kimball Int'l 'B',Furn/Home Furnishings,2500,NDQ,US,10.63,0,45919,38.4,412.8,0.8,413.6,328.1,85.5,1148.7,1124.2,19.02,19.02,NA,NA,1.19,0.95,0.36,4.98,3.06,0.94,0.95,0.29,0.29,-0.19,0.16,0.04,-0.01,1.01,0.8,0.2,0.23,-6.48,0.89,1.13,-0.14,0.05,0.14,0.02,0.06,349.9,614.1,107.1,-2.28,21.7,65.94,47.93,107.24,54.41,0.27,0.09,0.21,0.08,0.14,37.1,41.3,229.1,1124.2,21.7,24.58,0,0.32,0,0,0,0.06,0.35,0.33
Kimberly-Clark,Household Products,2840,NYS,US,59.62,-0.01,1137500,482.9,28469.9,3512.7,31982.6,31388.6,594,15083.2,15577.3,15.81,15.81,4.02,14.83,2.43,4.29,1.89,9.35,7.55,3.29,3.15,2.08,2.02,0.06,0.07,0.07,0.09,0.46,0.65,0.1,0.16,-231.05,0.58,0.48,-0.09,0.27,0.28,0.12,0.22,9548.2,17018,1045.4,34.25,1800.2,3357.52,2630.01,4157.82,2861.07,0.22,0.07,0.02,0.04,0.03,535,800.3,2510.9,15577.3,1800.2,869.22,0.16,0.47,0.12,0.11,0.35,0.03,0.01,0.74
Kimco Realty,R.E.I.T.,6720,NYS,US,32.08,-0.01,611300,104.6,3420.4,0,3420.4,3420.4,0,NA,NA,NA,13.7,1.43,22.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.34,0.75,0.13,0.17,0,0.39,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,249.7,138.07,NA,NA,0,0,NA,0.04,0.12,0.62
Kinder Morgan,Natural Gas (Div.),4929,NYS,US,91.83,0,318700,123.5,11296.5,3134.8,14431.3,14254.8,176.5,1164.9,1205.7,23.74,23.74,4.67,19.66,1.83,3.94,9.7,27.59,22.44,2.45,2.41,12.24,11.82,0.21,0.13,0.17,0.06,0.69,0.9,0.18,0.17,44.06,0.84,0.78,0.14,0.17,0.05,0.41,0.44,5823.1,10116.9,-41,-1.44,475.8,516.63,316.87,635.33,272.81,0.39,-0.04,0.01,0.15,0.02,164.2,118.7,77.8,1205.7,475.8,370.5,0.09,0.58,0.28,0.22,0.52,0.03,0.04,0.62
Kinder Morgan Energy,Natural Gas (Div.),4929,NYS,US,47.84,0,318700,207,10349.7,4852.6,15202.3,15202.3,0,7932.9,8868.3,12.45,12.45,2.32,20.62,1.78,2.73,1.3,12.04,9.8,1.72,1.74,1.92,1.71,0.18,0.07,0.07,0.09,0.26,0.7,0.13,0.14,420.07,0.36,0.79,0.34,0.21,0.14,0.1,0.16,8852.6,10552.9,-327.6,-38.63,831.6,1262.92,1233.66,1551.52,813.58,0.02,-0.04,0,0,0,747.3,288.6,170.5,8868.3,831.6,654.12,0.07,0.77,0.47,0.32,0.55,0.07,NA,0.19
Kinetic Concepts,Medical Supplies,8060,NYS,US,39.75,0.01,576100,68.7,2667.1,446.2,3113.3,2988.9,124.4,992.6,1105,24.09,24.09,2.64,15.06,0.83,52.5,2.69,11.04,9.01,8.02,6.26,3.01,2.7,NA,0.29,0.16,-0.22,0,0,0.4,0,45.03,NA,0,0.26,2.18,0.47,0.11,0.27,372.6,732.5,112.4,12.73,110.7,270.68,174.59,331.58,129.56,0.36,0.11,0.04,0.11,0.17,93.2,60.9,253.7,1105,110.7,0,0.07,0.25,0.17,0.14,0.9,0,0.41,0.78
King Pharmac.,Drug,2834,NYS,US,16.87,-0.01,1072200,241.7,4178,345,4523,4066.7,456.3,1304.4,1692.1,26.51,26.51,0.87,19.39,NA,2.26,3.2,10.16,7.23,2.34,2.06,3.12,2.4,NA,-0.05,0.01,-0.14,0.96,1.1,0.41,0.48,-112.38,0.4,0,-0.41,0.09,0.16,0.12,0.31,1737.5,2924.2,-18.1,-5.38,157.6,400.32,273.2,562.42,385.58,0.32,-0.01,0.1,0.27,0.16,55.1,162.1,564.5,1692.1,157.6,0,0.48,0.1,0.08,0.08,0.16,0,0.01,0.8
Kingsley Coach Inc,Manuf. Housing/RV,3792,NDQ,US,0.08,-0.17,101000,35,3.2,2.2,5.4,5.4,0,4.8,4.8,NA,NA,NA,NA,NA,NA,0.67,NA,NA,13.5,NA,1.13,1.13,NA,NA,NA,0.16,1.64,0.3,0.45,1.23,0.3,0.27,NA,-0.74,NA,-1.02,-0.13,-0.08,0.4,3.2,-0.5,0,-0.6,-0.41,-0.41,-0.41,-0.71,0,-0.1,0,0,0,0.3,0,1.5,4.8,-0.9,0,0.13,0.09,0.69,0.41,NA,0,NA,0
KingThomason Group Inc,Insurance (Prop/Cas.),6330,NDQ,Foreign,0.03,0.67,67000,20.8,0.2,0.4,0.6,0.6,0,0.1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,2.56,0.35,0,0.96,1.52,0.3,0.05,NA,-0.24,NA,6.15,-10,-12.3,-0.2,0.1,-0.3,0.3,-1,-1.23,-1.23,-1.23,-1.53,0,-3,0,NA,0,0,0,1,0,-0.4,0,0,0,2,0.67,NA,0,NA,0
Kinross Gold,Metals & Mining (Div.),1000,NYS,Foreign,9.2,-0.02,902000,345.5,3209.7,30.1,3239.8,2994,245.8,571.9,636.8,305.69,52.11,NA,NA,NA,1.76,5.61,22.13,10.84,1.85,1.74,5.24,4.7,NA,NA,NA,-0.14,0,0.4,NA,0,-63.43,NA,0,-1.05,0.01,0.04,0.02,0.24,1615.4,2142.5,35.9,4.07,10.5,135.31,60.2,276.21,123.63,0.56,0.06,0.08,0.39,0.11,73.4,140.9,25,636.8,61.6,0,0.43,0.24,0.01,0.01,0.02,0,NA,0
Kintera Inc,Internet,7370,NDQ,Foreign,2.97,-0.03,684620,31.1,92.6,0.1,92.7,42.5,50.2,23.7,39.5,NA,NA,-1.2,NA,NA,1.35,3.91,NA,NA,2.3,1.35,1.79,1.08,NA,0.35,NA,1.27,0,0,0.6,0,-6.67,NA,NA,0.55,-0.28,-0.65,-0.81,-0.51,18.5,86.9,-9.7,-6.47,-19.2,-12.03,-12.03,-9.43,-5.37,0,-0.41,0.54,1.27,0.58,2.4,2.6,32.5,39.5,-36,0,0.26,0.04,0,0,0,0,NA,0
Kirby Corp.,Maritime,4400,NYS,US,52.17,-0.01,61000,24.9,1337.8,218.7,1556.5,1555.9,0.6,675.3,756.1,27.03,27.03,2.98,17.51,1.93,3.07,1.98,10.5,7.65,2.38,2.38,2.3,2.06,0.11,0.14,0.07,0.08,0.56,1,0.2,0.2,42.8,0.55,0,0.47,0.11,0.14,0.07,0.22,653.3,904.7,35.9,4.3,49.5,148.16,91.85,203.26,49.06,0.38,0.05,0,0,0,93.6,55.1,96.9,756.1,49.5,0,0.18,0.63,0.16,0.14,0.33,0,0.15,0.78
Kirkland Lake Gold Inc,Precious Metals,1041,NDQ,Foreign,3.81,0,6000,45.4,172.2,0.1,172.3,163.7,8.6,22.2,19.2,NA,NA,NA,NA,NA,4.82,7.76,NA,NA,6.02,4.81,7.37,8.53,NA,NA,NA,0.81,0,0.65,NA,0,7.62,NA,NA,-0.3,-0.79,-0.92,-1.27,-1.13,27.2,47.7,-4.6,0.62,-28.2,-25.14,-25.14,-22.74,-32.76,0,-0.21,0.05,0.45,0.18,9.4,2.4,2.2,19.2,-32.4,0,0,0.65,0,0,0,0,NA,0
Kirkland's Inc.,Furn/Home Furnishings,2500,NDQ,US,5.97,0,69810,19.3,115.5,0,115.5,97.6,17.9,394.4,406,16.99,77,0.11,54.27,1.1,1.77,0.29,1.61,1.34,2.07,1.77,0.25,0.24,NA,0.15,NA,0.06,0.84,1.15,0.37,0.57,18.19,0.3,0,0.49,0.1,0.78,0.02,0.15,47.2,130.1,9.7,0.29,6.8,60.62,36.78,72.72,18.59,0.39,0.02,0.15,0.04,0.14,30,12.1,0,406,1.5,0,0.01,0.49,0,0,0,0,NA,0.73
Kirlin Hldg Corp,Securities Brokerage,6210,NDQ,US,0.17,0,250,2,0.3,2.1,2.4,-4.1,6.5,23.6,21.7,0.08,0.5,NA,NA,NA,0.05,0.01,NA,NA,NA,0.3,NA,NA,NA,NA,NA,0.1,0,0.7,NA,0,-0.17,NA,0,-0.1,0.63,1.04,0.16,0.07,1.6,14.2,-1.6,0.13,3.8,1.66,1.66,1.96,1.83,0,-0.07,2.71,0.3,0.46,0,0.3,0,21.7,0.6,0,0,0.01,7,0.88,0.26,0,NA,0
Kitty Hawk Inc,Air Transport,4510,AMS,US,1.06,0.01,94400,46.6,56.8,1.9,58.7,40.7,18,158.5,155.2,8.74,23.67,NA,NA,NA,1.67,0.36,3.04,2.42,2.26,1.63,0.26,0.26,NA,NA,NA,0.05,0,1.15,0.4,0,0.1,NA,0,0.01,0.19,0.46,0.04,0.08,18,49.1,9.5,-0.2,6.5,13.41,8.34,16.81,8.24,0.38,0.06,0.31,0.12,0.37,3.7,3.4,11.5,155.2,2.4,0,0,0.18,0.03,0.03,0.05,0,NA,0.46
KLA-Tencor,Precision Instrument,3800,NDQ,US,49.33,-0.01,1457388,196.6,9890.3,0,9890.3,7695.1,2195.2,2085.2,2050.3,21.19,21.19,NA,NA,1.03,3.25,4.74,11.78,10.62,9.05,3.25,3.69,3.75,0.11,0.21,0.16,0.39,2.42,1.55,0.19,0.42,-12.47,1.15,0.2,-0.03,0.15,0.57,0.22,0.31,850.1,3986.4,75.6,-1.27,466.7,653.5,488.1,724.4,500.57,0.25,0.04,0.22,1.07,0.55,59.7,70.9,640.2,2050.3,466.7,94.37,0.01,0.1,0,0,0,0.01,0.03,0.91
